timestamp,price,volume
1900-01-01 08:15:36.100,117.46,6
1900-01-01 08:15:51.300,117.46,1
1900-01-01 08:15:56.900,117.46,6
1900-01-01 08:15:57.800,117.46,2
1900-01-01 08:15:59.200,117.46,2
1900-01-01 08:15:59.400,117.46,6
1900-01-01 08:15:59.700,117.46,1
1900-01-01 08:16:01.100,117.46,1
1900-01-01 08:16:03.000,117.46,9
1900-01-01 08:16:16.800,117.47,121
1900-01-01 08:16:20.400,117.46999999999998,5
1900-01-01 08:16:20.700,117.47,8
1900-01-01 08:16:47.800,117.47,1
1900-01-01 08:16:58.700,117.48,3
1900-01-01 08:16:58.800,117.48,21
1900-01-01 08:16:59.100,117.48,4
1900-01-01 08:16:59.200,117.48,5
1900-01-01 08:17:00.000,117.48,1
1900-01-01 08:17:00.100,117.48,1
1900-01-01 08:17:00.300,117.48,4
1900-01-01 08:17:00.400,117.48,6
1900-01-01 08:17:00.600,117.48,1
1900-01-01 08:17:14.600,117.47,7
1900-01-01 08:17:26.800,117.48,9
1900-01-01 08:17:34.800,117.48,5
1900-01-01 08:17:54.200,117.48,24
1900-01-01 08:18:00.000,117.47,1
1900-01-01 08:18:01.100,117.47999999999999,15
1900-01-01 08:18:01.400,117.48,17
1900-01-01 08:18:01.700,117.48,1
1900-01-01 08:18:04.900,117.48,7
1900-01-01 08:18:09.200,117.47999999999999,9
1900-01-01 08:18:14.400,117.48,2
1900-01-01 08:18:14.500,117.48,1
1900-01-01 08:18:33.300,117.47999999999999,6
1900-01-01 08:18:36.200,117.47999999999999,10
1900-01-01 08:18:36.400,117.48,1
1900-01-01 08:18:37.700,117.48999999999998,68
1900-01-01 08:18:38.200,117.49,2
1900-01-01 08:18:42.100,117.47999999999999,35
1900-01-01 08:18:42.200,117.48,2
1900-01-01 08:18:51.500,117.48,4
1900-01-01 08:19:05.200,117.49,1
1900-01-01 08:19:05.300,117.48,1
1900-01-01 08:19:06.000,117.48,1
1900-01-01 08:19:22.700,117.49,17
1900-01-01 08:19:22.800,117.49,3
1900-01-01 08:19:31.300,117.5,70
1900-01-01 08:19:31.400,117.50333333333333,3
1900-01-01 08:19:31.500,117.51,2
1900-01-01 08:19:36.500,117.51,2
1900-01-01 08:19:48.800,117.5,17
1900-01-01 08:19:48.900,117.5,4
1900-01-01 08:19:49.700,117.5,3
1900-01-01 08:19:50.600,117.5,49
1900-01-01 08:19:59.200,117.51000000000002,13
1900-01-01 08:19:59.300,117.51,3
1900-01-01 08:20:00.000,117.51100000000001,43
1900-01-01 08:20:00.100,117.51111111111112,19
1900-01-01 08:20:00.200,117.51,8
1900-01-01 08:20:00.300,117.52,1
1900-01-01 08:20:01.400,117.51200000000001,5
1900-01-01 08:20:03.900,117.5,49
1900-01-01 08:20:06.600,117.51000000000002,36
1900-01-01 08:20:06.700,117.51,5
1900-01-01 08:20:06.900,117.52,1
1900-01-01 08:20:07.000,117.52,1
1900-01-01 08:20:11.000,117.52,1
1900-01-01 08:20:12.800,117.51000000000002,8
1900-01-01 08:20:13.400,117.5,1
1900-01-01 08:20:14.300,117.51,4
1900-01-01 08:20:16.400,117.51,1
1900-01-01 08:20:17.700,117.51,4
1900-01-01 08:20:19.000,117.5,97
1900-01-01 08:20:21.300,117.51,7
1900-01-01 08:20:22.200,117.5,2
1900-01-01 08:20:25.000,117.5,73
1900-01-01 08:20:31.600,117.5,12
1900-01-01 08:20:31.700,117.5,1
1900-01-01 08:20:32.300,117.5,1
1900-01-01 08:20:34.000,117.5,7
1900-01-01 08:20:39.000,117.48999999999998,12
1900-01-01 08:20:39.100,117.49,2
1900-01-01 08:20:52.900,117.49,1
1900-01-01 08:20:53.000,117.485,2
1900-01-01 08:20:58.300,117.48,13
1900-01-01 08:21:00.000,117.475,2
1900-01-01 08:21:00.100,117.47999999999999,7
1900-01-01 08:21:00.200,117.48,2
1900-01-01 08:21:04.200,117.48,3
1900-01-01 08:21:05.000,117.48,22
1900-01-01 08:21:06.500,117.48,3
1900-01-01 08:21:06.800,117.49,1
1900-01-01 08:21:10.700,117.47,1
1900-01-01 08:21:12.900,117.48,9
1900-01-01 08:21:19.800,117.48,49
1900-01-01 08:21:31.500,117.48,49
1900-01-01 08:21:32.100,117.47999999999999,5
1900-01-01 08:21:32.500,117.48,1
1900-01-01 08:21:35.500,117.47999999999999,6
1900-01-01 08:21:35.900,117.47999999999999,8
1900-01-01 08:21:48.600,117.49,1
1900-01-01 08:21:55.000,117.48,1
1900-01-01 08:21:57.000,117.48,1
1900-01-01 08:21:58.300,117.48,4
1900-01-01 08:22:00.200,117.48,4
1900-01-01 08:22:00.300,117.48,4
1900-01-01 08:22:01.000,117.49,1
1900-01-01 08:22:01.100,117.48,1
1900-01-01 08:22:05.900,117.482,9
1900-01-01 08:22:06.000,117.48,1
1900-01-01 08:22:10.400,117.47,1
1900-01-01 08:22:16.000,117.47,1
1900-01-01 08:22:18.600,117.47,1
1900-01-01 08:22:20.200,117.47,167
1900-01-01 08:22:20.400,117.46999999999998,32
1900-01-01 08:22:27.900,117.48,49
1900-01-01 08:22:28.100,117.48,1
1900-01-01 08:22:29.600,117.48,40
1900-01-01 08:22:29.700,117.48,1
1900-01-01 08:22:32.500,117.49,1
1900-01-01 08:22:32.900,117.48,7
1900-01-01 08:22:35.200,117.48,25
1900-01-01 08:22:35.700,117.48,5
1900-01-01 08:22:36.100,117.49,1
1900-01-01 08:22:41.000,117.48,5
1900-01-01 08:22:41.200,117.48,1
1900-01-01 08:22:41.400,117.48,4
1900-01-01 08:22:54.000,117.47,1
1900-01-01 08:23:00.000,117.475,2
1900-01-01 08:23:00.200,117.47000000000001,206
1900-01-01 08:23:00.300,117.47,4
1900-01-01 08:23:00.400,117.47,1
1900-01-01 08:23:00.500,117.47,2
1900-01-01 08:23:04.900,117.47,22
